oldId,newId,grade,moduleId,slug,name,description,example,prerequisiteSuggestion,relatedSuggestion,difficulty,status
g5-oral-equ,g5-m1-g5-oral-equ,5,M1,5-g5-oral-equ,简易方程口算,口算简单方程中的未知数。,x+3=8，x=?（答案：5）,,,1,active
g5-oral-fm,g5-m1-g5-oral-fm,5,M1,5-g5-oral-fm,因数倍数特征快速判断,快速判断2、3、5的倍数特征。,下列各数中能被2整除的是？（答案：48）,,,1,active
g5-v-decmul,g5-m2-g5-v-decmul,5,M2,5-g5-v-decmul,小数乘法竖式,小数乘小数的竖式计算（数清小数位数）。,0.12×0.3=?（答案：0.036）,,,1,active
g5-v-divint,g5-m2-g5-v-divint,5,M2,5-g5-v-divint,除数是整数的小数除法竖式,小数除以整数的竖式计算。,1.5÷3=?（答案：0.5）,,,1,active
g5-v-ddivdec,g5-m2-g5-v-ddivdec,5,M2,5-g5-v-ddivdec,除数是小数的小数除法竖式,把除数化成整数后再除的小数除法。,1.2÷0.3=?（答案：4）,,,1,active
g5-v-repeating,g5-m2-g5-v-repeating,5,M2,5-g5-v-repeating,循环小数竖式表示,认识循环小数并用简便记法表示。,1÷3=?（答案：0.3…）,,,1,active
g5-mix-decmixed,g5-m3-g5-mix-decmixed,5,M3,5-g5-mix-decmixed,小数四则混合运算,按运算顺序进行小数四则混合运算。,0.5+0.3×2=?（答案：1.1）,,,1,active
g5-mix-fracmixed,g5-m3-g5-mix-fracmixed,5,M3,5-g5-mix-fracmixed,分数加减混合运算,异分母分数通分后进行加减混合。,1/2+1/3=?（答案：5/6）,,,1,active
g5-mix-decsimple,g5-m3-g5-mix-decsimple,5,M3,5-g5-mix-decsimple,运算律推广到小数简便计算,用运算律对小数进行简便计算。,0.25×4.8×4=?（答案：4.8）,,,1,active
g5-mix-fracsimple,g5-m3-g5-mix-fracsimple,5,M3,5-g5-mix-fracsimple,运算律推广到分数简便计算,用运算律对分数进行简便计算。,1/4+2/3+3/4=?（答案：1又2/3）,,,1,active
g5-fill-decloc,g5-m4-g5-fill-decloc,5,M4,5-g5-fill-decloc,小数的计数单位与数位,认识小数的十分位、百分位及计数单位。,0.07的计数单位是？（答案：0.01）,,,1,active
g5-fill-deccmp,g5-m4-g5-fill-deccmp,5,M4,5-g5-fill-deccmp,小数大小比较,按数位比较小数的大小。,比较0.3和0.29。（答案：0.3>0.29）,,,1,active
g5-fill-prodrule,g5-m4-g5-fill-prodrule,5,M4,5-g5-fill-prodrule,积的变化规律,理解一个因数扩大引起积的变化规律。,一个因数×10，另一个不变，积（  ）。（答案：×10）,,,1,active
g5-fill-repeating,g5-m4-g5-fill-repeating,5,M4,5-g5-fill-repeating,循环小数与简便记法,认识循环节并用循环点表示循环小数。,5.2323…的简便记法是？（答案：在23上加点）,,,1,active
g5-fill-equation,g5-m4-g5-fill-equation,5,M4,5-g5-fill-equation,方程概念与等式的性质,理解方程的定义及等式的性质。,下列是方程的是？（答案：x+2=5）,,,1,active
g5-fill-fm,g5-m4-g5-fill-fm,5,M4,5-g5-fill-fm,因数与倍数的概念,理解因数与倍数相互依存的关系。,12是3的（  ）。（答案：倍数）,,,1,active
g5-fill-prime,g5-m4-g5-fill-prime,5,M4,5-g5-fill-prime,质数与合数,按因数个数区分质数与合数。,最小的质数是？（答案：2）,,,1,active
g5-fill-fracmean,g5-m4-g5-fill-fracmean,5,M4,5-g5-fill-fracmean,分数的意义与分数单位,理解单位“1”平均分的分数意义。,3/4的分数单位是？（答案：1/4）,,,1,active
g5-fill-fracprop,g5-m4-g5-fill-fracprop,5,M4,5-g5-fill-fracprop,分数的基本性质（约分、通分）,分子分母同乘同除，分数大小不变。,2/3=（  ）/9。（答案：6）,,,1,active
g5-fill-fracdec,g5-m4-g5-fill-fracdec,5,M4,5-g5-fill-fracdec,分数与小数的互化,分数与小数相互转化。,1/4=?（答案：0.25）,,,1,active
g5-fill-coord,g5-m4-g5-fill-coord,5,M4,5-g5-fill-coord,数对的含义,用（列，行）这样有序数对确定位置。,"第3列第2行记作？（答案：(3,2)）",,,1,active
g5-fill-area,g5-m4-g5-fill-area,5,M4,5-g5-fill-area,多边形面积公式,掌握平行四边形、三角形、梯形的面积计算。,底5、高4的三角形面积？（答案：10）,,,1,active
g5-fill-solid,g5-m4-g5-fill-solid,5,M4,5-g5-fill-solid,长方体正方体特征与公式,认识长方体、正方体特征及表面积、体积公式。,棱长2的正方体体积？（答案：8）,,,1,active
g5-fill-rotate,g5-m4-g5-fill-rotate,5,M4,5-g5-fill-rotate,旋转三要素,认识旋转的中心、方向、角度三要素。,图形绕点O顺时针转90°，三要素是？（答案：中心、方向、角度）,,,1,active
g5-fill-possible,g5-m4-g5-fill-possible,5,M4,5-g5-fill-possible,可能性描述,用一定、可能、不可能描述事件。,太阳从西边升起是？（答案：不可能）,,,1,active
g5-fill-linechart,g5-m4-g5-fill-linechart,5,M4,5-g5-fill-linechart,折线统计图特点,认识折线统计图反映增减变化的特点。,要表示气温变化用（  ）统计图。（答案：折线）,,,1,active
g5-match-areaf,g5-m5-g5-match-areaf,5,M5,5-g5-match-areaf,图形与面积公式连线,把图形与面积公式连线。,连线：三角形 —— 底×高÷2。,,,1,active
g5-match-solid,g5-m5-g5-match-solid,5,M5,5-g5-match-solid,立体图形特征连线,把立体图形与特征连线。,连线：正方体 —— 6个完全相同的正方形面。,,,1,active
g5-match-possib,g5-m5-g5-match-possib,5,M5,5-g5-match-possib,事件与可能性描述连线,把事件与可能性词语连线。,连线：抛硬币正面 —— 可能。,,,1,active
g5-match-equ,g5-m5-g5-match-equ,5,M5,5-g5-match-equ,方程与解连线,把方程与它的解连线。,连线：x+1=3 —— x=2。,,,1,active
g5-match-fracdec,g5-m5-g5-match-fracdec,5,M5,5-g5-match-fracdec,分数与小数连线,把分数与相等的小数连线。,连线：3/10 —— 0.3。,,,1,active
g5-draw-rotate,g5-m6-g5-draw-rotate,5,M6,5-g5-draw-rotate,画旋转后的图形,按要求画出图形旋转后的位置。,把三角形绕点O顺时针旋转90°。,,,1,active
g5-draw-observe,g5-m6-g5-draw-observe,5,M6,5-g5-draw-observe,观察物体（三）,从三视图想象并画出立体图形。,给出三视图，还原小正方体的搭法。,,,1,active
g5-draw-height,g5-m6-g5-draw-height,5,M6,5-g5-draw-height,画多边形的高,从顶点向对边画垂线段作高。,画出平行四边形的高。,,,1,active
g5-draw-sym,g5-m6-g5-draw-sym,5,M6,5-g5-draw-sym,补全轴对称图形,根据对称轴补全另一半图形。,补全给定的轴对称图形。,,,1,active
g5-draw-coord,g5-m6-g5-draw-coord,5,M6,5-g5-draw-coord,用数对表示位置,在方格图上用数对标出位置。,"标出（4,3）所在的位置。",,,1,active
g5-draw-net,g5-m6-g5-draw-net,5,M6,5-g5-draw-net,长方体展开图,认识并画出长方体的展开图。,判断哪个是长方体的展开图。,,,1,active
g5-pic-balance,g5-m7-g5-pic-balance,5,M7,5-g5-pic-balance,天平平衡图（列方程）,根据天平平衡列出等量方程。,天平左为x、右为5，方程是？（答案：x=5）,,,1,active
g5-pic-area,g5-m7-g5-pic-area,5,M7,5-g5-pic-area,多边形面积图,看图求组合图形的面积。,看图计算阴影部分的面积。,,,1,active
g5-pic-segment,g5-m7-g5-pic-segment,5,M7,5-g5-pic-segment,线段图（小数倍数）,用线段图分析小数倍数关系。,甲是乙的1.5倍，乙是4，甲？（答案：6）,,,1,active
g5-pic-tree,g5-m7-g5-pic-tree,5,M7,5-g5-pic-tree,植树问题示意图,用示意图分析植树问题的间隔。,路长20米、每5米一棵，两端都种共几棵？（答案：5棵）,,,1,active
g5-word-decmul,g5-m8-g5-word-decmul,5,M8,5-g5-word-decmul,小数乘法应用题,解决小数乘法的实际问题。,每千克2.5元，买3千克需？（答案：7.5元）,,,1,active
g5-word-decdiv,g5-m8-g5-word-decdiv,5,M8,5-g5-word-decdiv,小数除法应用题（进一法、去尾法）,用进一法或去尾法取小数除法的近似值。,每瓶0.4升，2升可装几瓶？（答案：5瓶，进一法）,,,1,active
g5-word-equ,g5-m8-g5-word-equ,5,M8,5-g5-word-equ,列方程解决问题,设未知数，列方程解应用题。,一个数的3倍多2是11，求这个数。（答案：3）,,,1,active
g5-word-fm,g5-m8-g5-word-fm,5,M8,5-g5-word-fm,因数与倍数简单应用,用因数与倍数解决简单问题。,每组6人正好分完，总人数可能是多少？（答案：6的倍数）,,,1,active
g5-word-frac,g5-m8-g5-word-frac,5,M8,5-g5-word-frac,分数加减法应用题,解决分数加减法的实际问题。,一根绳用去1/3，还剩几分之几？（答案：2/3）,,,1,active
g5-word-area,g5-m8-g5-word-area,5,M8,5-g5-word-area,多边形面积应用题,用面积公式解决实际问题。,梯形上底3、下底5、高4，面积？（答案：16）,,,1,active
g5-word-solid,g5-m8-g5-word-solid,5,M8,5-g5-word-solid,长方体正方体应用题,解决长方体、正方体表面积体积实际问题。,棱长3的正方体表面积？（答案：54）,,,1,active
g5-word-possib,g5-m8-g5-word-possib,5,M8,5-g5-word-possib,可能性问题,计算简单事件发生的可能性。,袋中3红1白，摸到红球的可能性？（答案：3/4）,,,1,active
g5-word-linechart,g5-m8-g5-word-linechart,5,M8,5-g5-word-linechart,折线统计图分析,读取折线统计图并回答变化问题。,根据气温折线图回答最高气温。,,,1,active
g5-word-tree,g5-m8-g5-word-tree,5,M8,5-g5-word-tree,植树问题,掌握植树问题的三种情形。,环形路上栽树，棵数=？（答案：段数）,,,1,active
g5-word-defect,g5-m8-g5-word-defect,5,M8,5-g5-word-defect,找次品,用天平最少次数找出次品。,9个物品中有1个较轻，至少称几次？（答案：2次）,,,1,active
g5-stats-possib,g5-m9-g5-stats-possib,5,M9,5-g5-stats-possib,可能性大小比较,比较不同事件发生可能性的大小。,哪种颜色的球多，摸到它的可能性就大。,,,1,active
g5-stats-line1,g5-m9-g5-stats-line1,5,M9,5-g5-stats-line1,单式折线统计图,绘制单条折线统计图。,根据月销量数据画折线图。,,,1,active
g5-stats-line2,g5-m9-g5-stats-line2,5,M9,5-g5-stats-line2,复式折线统计图,在同一图中画两组数据的复式折线统计图。,画出甲、乙两人成绩的复式折线图。,,,1,active
g5-reason-tree3,g5-m10-g5-reason-tree3,5,M10,5-g5-reason-tree3,植树问题（三种情况）,区分植树问题两端都种、只种一端、两端不种。,两端都不种时，棵数=段数-1。,,,1,active
g5-reason-defect,g5-m10-g5-reason-defect,5,M10,5-g5-reason-defect,找次品（天平称量）,用天平分组称量找出次品。,从8个物品中找1个次品，至少称几次？（答案：2次）,,,1,active
g5-reason-logic,g5-m10-g5-reason-logic,5,M10,5-g5-reason-logic,逻辑推理,用列表等方法进行逻辑推理。,三人各爱好不同，推理各自的爱好。,,,1,active
g5-reason-seq,g5-m10-g5-reason-seq,5,M10,5-g5-reason-seq,数字推理,寻找数列的规律并填数。,"2, 4, 8, 16, （  ）。（答案：32）",,,1,active
g5-judge-decmul,g5-m11-g5-judge-decmul,5,M11,5-g5-judge-decmul,小数乘除法,判断小数乘除的计算正误。,判断：0.2×0.3=0.6。（错，应为0.06）,,,1,active
g5-judge-equ,g5-m11-g5-judge-equ,5,M11,5-g5-judge-equ,方程概念,判断哪些式子是方程。,判断：3+5=8是方程。（错）,,,1,active
g5-judge-fm,g5-m11-g5-judge-fm,5,M11,5-g5-judge-fm,因数与倍数,判断因数与倍数相关的说法。,判断：1是所有非零自然数的因数。（对）,,,1,active
g5-judge-frac,g5-m11-g5-judge-frac,5,M11,5-g5-judge-frac,分数的意义与性质,判断分数的意义与基本性质。,判断：2/3=4/6。（对）,,,1,active
g5-judge-area,g5-m11-g5-judge-area,5,M11,5-g5-judge-area,多边形面积,判断面积公式与计算。,判断：三角形面积=底×高。（错，应÷2）,,,1,active
g5-judge-solid,g5-m11-g5-judge-solid,5,M11,5-g5-judge-solid,长方体正方体,判断立体图形的特征。,判断：正方体是特殊的长方体。（对）,,,1,active
g5-judge-rotate,g5-m11-g5-judge-rotate,5,M11,5-g5-judge-rotate,图形的运动,判断图形的运动方式。,判断：风车转动是旋转。（对）,,,1,active
g5-judge-possib,g5-m11-g5-judge-possib,5,M11,5-g5-judge-possib,可能性,判断可能性的描述正误。,判断：明天一定下雨。（错）,,,1,active
g5-judge-stats,g5-m11-g5-judge-stats,5,M11,5-g5-judge-stats,统计,判断统计图表相关的说法。,判断：折线图能看变化趋势。（对）,,,1,active
g5-choice-decmul,g5-m12-g5-choice-decmul,5,M12,5-g5-choice-decmul,小数乘除法,选择小数乘除的正确结果。,0.4×0.2=?（答案：0.08）,,,1,active
g5-choice-equ,g5-m12-g5-choice-equ,5,M12,5-g5-choice-equ,方程,选择正确方程或其解。,x-2=5，x=?（答案：7）,,,1,active
g5-choice-fm,g5-m12-g5-choice-fm,5,M12,5-g5-choice-fm,因数与倍数,选择因数与倍数的正确结论。,下列各数是合数的是？（答案：9）,,,1,active
g5-choice-frac,g5-m12-g5-choice-frac,5,M12,5-g5-choice-frac,分数的意义与性质,选择分数相关的正确表述。,与2/5相等的是？（答案：4/10）,,,1,active
g5-choice-area,g5-m12-g5-choice-area,5,M12,5-g5-choice-area,多边形的面积,选择面积计算的正确结果。,底6、高3的平行四边形面积？（答案：18）,,,1,active
g5-choice-solid,g5-m12-g5-choice-solid,5,M12,5-g5-choice-solid,长方体正方体容积,选择长方体、正方体体积（容积）的正确计算。,长、宽、高2、3、4的长方体体积？（答案：24）,,,1,active
g5-choice-rotate,g5-m12-g5-choice-rotate,5,M12,5-g5-choice-rotate,图形的运动,选择图形的运动方式判断。,电梯上下运动是？（答案：平移）,,,1,active
g5-choice-possib,g5-m12-g5-choice-possib,5,M12,5-g5-choice-possib,可能性,选择可能性大小的判断。,抛硬币正面朝上的可能性？（答案：1/2）,,,1,active
g5-choice-stats,g5-m12-g5-choice-stats,5,M12,5-g5-choice-stats,统计,选择合适的统计图类型。,比较各月销量用？（答案：条形统计图）,,,1,active
c1-vertical,g5-c1-c1-vertical,5,C1,5-c1-vertical,竖式数字谜,根据竖式中已知的部分数字，推理填出完整的竖式。,□5+3□=82，求出两个□中的数字。,,,4,active
c1-horizontal,g5-c1-c1-horizontal,5,C1,5-c1-horizontal,横式数字谜,在横式中填入合适的数字，使等式成立。,□+□=9，且两个□中的数字不同。,,,4,active
c1-symbol,g5-c1-c1-symbol,5,C1,5-c1-symbol,符号代表数,用图形或符号代表未知的數字进行推理。,△+△=10，△=?（答案：5）,,,4,active
c1-array,g5-c1-c1-array,5,C1,5-c1-array,数阵图,把数填入图中，使每行、每列的和相等。,在三阶数阵中填1-9，使每行每列和都为15。,,,4,active
c1-magic,g5-c1-c1-magic,5,C1,5-c1-magic,幻方,理解幻方的规律并填数。,完成中间为5的三阶幻方。,,,4,active
c2-parity,g5-c2-c2-parity,5,C2,5-c2-parity,奇偶性与运算规律,利用奇偶性判断运算结果的奇偶。,奇数+奇数=?（答案：偶数）,,,4,active
c2-divisible,g5-c2-c2-divisible,5,C2,5-c2-divisible,整除特征（2/3/5/9）,掌握能被2、3、5、9整除的数的特征。,下列各数中能被3整除的是？（答案：123）,,,4,active
c2-prime,g5-c2-c2-prime,5,C2,5-c2-prime,质数与合数,认识质数与合数，并能判断。,下列各数中是质数的是？（答案：7）,,,4,active
c2-factor,g5-c2-c2-factor,5,C2,5-c2-factor,因数与倍数,理解因数与倍数相互依存的关系。,6的因数有？（答案：1、2、3、6）,,,4,active
c2-remainder,g5-c2-c2-remainder,5,C2,5-c2-remainder,余数问题,解决带余除法的应用问题。,□÷5=3……2，□=?（答案：17）,,,4,active
c2-place,g5-c2-c2-place,5,C2,5-c2-place,位值原理,利用数字所在数位的值进行推理。,一个两位数，十位是个位的2倍，它可能是哪些数？,,,4,active
c3-enum,g5-c3-c3-enum,5,C3,5-c3-enum,枚举法,有次序地一一列举出所有可能。,用1、2、3能组成几个无重复数字的两位数？（答案：6个）,,,4,active
c3-am,g5-c3-c3-am,5,C3,5-c3-am,加法与乘法原理,分类用加法原理，分步用乘法原理计数。,上衣3件、裤子2件，共有几种穿法？（答案：6种）,,,4,active
c3-perm,g5-c3-c3-perm,5,C3,5-c3-perm,排列组合初步,初步认识排列与组合的区别。,从3人中选2人排成一排有几种？（答案：6种）,,,4,active
c3-geomcount,g5-c3-c3-geomcount,5,C3,5-c3-geomcount,几何计数,数出图形中的线段、角、三角形个数。,一条线段上有4个点，共有几条线段？（答案：10条）,,,4,active
c3-worst,g5-c3-c3-worst,5,C3,5-c3-worst,最不利原则,考虑最坏情况，保证结论必然成立。,两色球各若干，至少拿几个保证同色？（答案：3个）,,,4,active
c5-basic,g5-c5-c5-basic,5,C5,5-c5-basic,基本行程,用路程=速度×时间解决基本行程问题。,速度4米/秒，走10秒，路程？（答案：40米）,,,4,active
c5-meet,g5-c5-c5-meet,5,C5,5-c5-meet,相遇问题,两人相向而行，路程和=速度和×时间。,相距100米，两人速度和10，几秒相遇？（答案：10秒）,,,4,active
c5-chase,g5-c5-c5-chase,5,C5,5-c5-chase,追及问题,同向而行，追及时间=路程差÷速度差。,甲速6、乙速4，相差20米，几秒追上？（答案：10秒）,,,4,active
c5-train,g5-c5-c5-train,5,C5,5-c5-train,火车过桥,考虑车长，路程=桥长+车长。,车长100米过200米桥，完全通过要走？（答案：300米）,,,4,active
c5-river,g5-c5-c5-river,5,C5,5-c5-river,流水行船,顺速=静水速+水速，逆速=静水速-水速。,静水速10、水速2，顺水速度？（答案：12）,,,4,active
c4-pa,g5-c4-c4-pa,5,C4,5-c4-pa,周长与面积,理解周长与面积的区别与联系。,边长为4的正方形，周长和面积各是？（答案：周长16，面积16）,,,4,active
c4-cutfill,g5-c4-c4-cutfill,5,C4,5-c4-cutfill,割补法,用割补法把不规则图形转化为规则图形求面积。,把不规则图形割补成长方形求面积。,,,4,active
c4-angle,g5-c4-c4-angle,5,C4,5-c4-angle,角度初步,认识角度的计算与和差关系。,∠1+∠2=90°，∠1=30°，∠2=?（答案：60°）,,,4,active
c4-count,g5-c4-c4-count,5,C4,5-c4-count,图形计数,有次序地数出图形的个数。,数出图中三角形的个数。,,,4,active
c4-transform,g5-c4-c4-transform,5,C4,5-c4-transform,平移旋转与对称,认识图形的对称、平移与旋转。,判断下列图形是否轴对称。,,,4,active
c4-solid,g5-c4-c4-solid,5,C4,5-c4-solid,立体图形初步,认识常见立体图形的特征与展开图。,正方体有几个面？（答案：6个）,,,4,active
c6-work,g5-c6-c6-work,5,C6,5-c6-work,工程问题,把总工作量看成单位1，合作效率=效率和，合作时间=1÷效率和。,甲6天、乙3天完成，合作几天？（答案：2天）,,,4,active
c6-concentration,g5-c6-c6-concentration,5,C6,5-c6-concentration,浓度问题,含盐率=盐重÷盐水总重，混合与稀释均按此计算。,100克10%盐水加100克水，含盐率？（答案：5%）,,,4,active
c7-telescope,g5-c7-c7-telescope,5,C7,5-c7-telescope,裂项相消,把每一项拆成两个分数之差，相加时首尾相消。,1/(1×2)+1/(2×3)+…+1/(9×10)=?（答案：9/10）,,,4,active
c7-complex,g5-c7-c7-complex,5,C7,5-c7-complex,繁分数化简,多层分式从最里层逐层通分，除以分数等于乘它的倒数。,1÷(2+1/3)=?（答案：3/7）,,,4,active
c7-clever,g5-c7-c7-clever,5,C7,5-c7-clever,分数巧算,提取公因数、连乘约分、等比凑整等速算技巧。,(1-1/2)×(1-1/3)×…×(1-1/10)=?（答案：1/10）,,,4,active
c7-pattern,g5-c7-c7-pattern,5,C7,5-c7-pattern,分数数列规律,由前几项归纳通项公式，再求指定项。,1/2、2/3、3/4、4/5…第10项是?（答案：10/11）,,,4,active
g6-oral-frac-mult-int,g6-m1-g6-oral-frac-mult-int,6,M1,6-g6-oral-frac-mult-int,分数乘整数,分数乘整数，分子乘整数、分母不变。,2/3×4=?（答案：8/3）,,,1,active
g6-oral-frac-mult-frac,g6-m1-g6-oral-frac-mult-frac,6,M1,6-g6-oral-frac-mult-frac,分数乘分数,分数乘分数，分子乘分子、分母乘分母。,1/2×1/3=?（答案：1/6）,,,1,active
g6-oral-frac-div-int,g6-m1-g6-oral-frac-div-int,6,M1,6-g6-oral-frac-div-int,分数除以整数,分数除以整数等于乘这个整数的倒数。,2/3÷2=?（答案：1/3）,,,1,active
g6-oral-frac-div-frac,g6-m1-g6-oral-frac-div-frac,6,M1,6-g6-oral-frac-div-frac,一个数除以分数,一个数除以分数等于乘这个分数的倒数。,2/3÷1/2=?（答案：4/3）,,,1,active
g6-oral-dec-perc,g6-m1-g6-oral-dec-perc,6,M1,6-g6-oral-dec-perc,小数与百分数互化,小数化百分数乘100加%，反之除以100。,0.25=?（答案：25%）,,,1,active
g6-oral-ratio-simp,g6-m1-g6-oral-ratio-simp,6,M1,6-g6-oral-ratio-simp,求比值与化简比,求比值用前项除以后项，化简比化为最简整数比。,2:4化简是？（答案：1:2）,,,1,active
g6-oral-neg-add-sub,g6-m1-g6-oral-neg-add-sub,6,M1,6-g6-oral-neg-add-sub,负数加减,在直线上理解正负数的加减。,-3+5=?（答案：2）,,,1,active
g6-calc-dec-mult,g6-m2-g6-calc-dec-mult,6,M2,6-g6-calc-dec-mult,小数乘法笔算,小数乘小数的笔算（正确点小数点）。,0.25×0.4=?（答案：0.1）,,,1,active
g6-calc-dec-div,g6-m2-g6-calc-dec-div,6,M2,6-g6-calc-dec-div,小数除法笔算,小数除法的笔算方法。,4.2÷0.6=?（答案：7）,,,1,active
g6-calc-frac-mult-div,g6-m2-g6-calc-frac-mult-div,6,M2,6-g6-calc-frac-mult-div,分数乘除笔算,分数乘除法的计算。,3/4÷2/3=?（答案：9/8）,,,1,active
g6-calc-solve-proportion,g6-m2-g6-calc-solve-proportion,6,M2,6-g6-calc-solve-proportion,解比例,用比例的基本性质解未知项。,2:3=x:6，x=?（答案：4）,,,1,active
g6-mixed-frac-order,g6-m3-g6-mixed-frac-order,6,M3,6-g6-mixed-frac-order,分数四则混合运算,分数加减乘除混合按运算顺序计算。,1/2+1/3×3=?（答案：1.5）,,,1,active
g6-mixed-frac-simple,g6-m3-g6-mixed-frac-simple,6,M3,6-g6-mixed-frac-simple,分数简便运算（乘法分配律等）,用运算律对分数进行简便计算。,1/2×3+1/2×5=?（答案：4）,,,1,active
g6-mixed-solve-equation,g6-m3-g6-mixed-solve-equation,6,M3,6-g6-mixed-solve-equation,解方程（含分数系数）,解含分数系数的方程。,x/2=3，x=?（答案：6）,,,1,active
g6-fill-negative,g6-m4-g6-fill-negative,6,M4,6-g6-fill-negative,负数的意义与读写,认识负数表示相反意义的量。,-5读作？（答案：负五）,,,1,active
g6-fill-percent,g6-m4-g6-fill-percent,6,M4,6-g6-fill-percent,百分数的意义、互化与折扣,理解百分数、与分数小数互化及折扣。,八折=?（答案：80%）,,,1,active
g6-fill-ratio,g6-m4-g6-fill-ratio,6,M4,6-g6-fill-ratio,比和比例的基本性质,比的前项后项同乘除值不变；比例两内项积=两外项积。,3:4=6:（  ）。（答案：8）,,,1,active
g6-fill-circle,g6-m4-g6-fill-circle,6,M4,6-g6-fill-circle,圆的周长与面积公式,掌握圆的周长 C=πd=2πr 与面积 S=πr²。,r=1的圆面积？（答案：π）,,,1,active
g6-fill-cylinder-cone,g6-m4-g6-fill-cylinder-cone,6,M4,6-g6-fill-cylinder-cone,圆柱侧面积、表面积、体积与圆锥体积,掌握圆柱表面积与体积、圆锥体积公式。,r=1、h=3的圆柱体积？（答案：3π）,,,1,active
g6-fill-pie-chart,g6-m4-g6-fill-pie-chart,6,M4,6-g6-fill-pie-chart,扇形统计图的特点,用扇形表示各部分占总体的百分比。,扇形统计图能看出？（答案：各部分占比）,,,1,active
g6-fill-unit-convert,g6-m4-g6-fill-unit-convert,6,M4,6-g6-fill-unit-convert,单位换算,进行常用单位间的换算。,2米=?厘米（答案：200厘米）,,,1,active
g6-match-proportion,g6-m5-g6-match-proportion,6,M5,6-g6-match-proportion,正比例与反比例判断,比值一定为正比例，乘积一定为反比例。,速度一定，路程与时间成？（答案：正比例）,,,1,active
g6-match-formula,g6-m5-g6-match-formula,6,M5,6-g6-match-formula,图形与公式配对,把图形与面积公式配对。,连线：圆 —— πr²。,,,1,active
g6-match-chart,g6-m5-g6-match-chart,6,M5,6-g6-match-chart,统计图类型与特点配对,把统计图与特点配对。,连线：扇形图 —— 表示占比。,,,1,active
g6-op-circle,g6-m6-g6-op-circle,6,M6,6-g6-op-circle,画圆与圆的认识,用圆规画圆，认识圆心、半径、直径。,圆规两脚间的距离是？（答案：半径）,,,1,active
g6-op-symmetry,g6-m6-g6-op-symmetry,6,M6,6-g6-op-symmetry,画对称轴,画出轴对称图形的对称轴。,圆有（  ）条对称轴。（答案：无数条）,,,1,active
g6-op-rotate-scale,g6-m6-g6-op-rotate-scale,6,M6,6-g6-op-rotate-scale,图形旋转与放大缩小,按要求旋转或按比例放大、缩小图形。,把图形放大2倍。,,,1,active
g6-op-position,g6-m6-g6-op-position,6,M6,6-g6-op-position,用方向和距离确定位置,用方向（角度）加距离描述位置。,北偏东30°方向500米处。,,,1,active
g6-pic-frac-line,g6-m7-g6-pic-frac-line,6,M7,6-g6-pic-frac-line,分数应用题线段图,用线段图分析分数乘除法问题。,甲比乙多1/3，乙是6，甲？（答案：8）,,,1,active
g6-pic-pie-chart,g6-m7-g6-pic-pie-chart,6,M7,6-g6-pic-pie-chart,扇形统计图看图计算,根据扇形统计图求部分数量。,总数200、占25%的部分是？（答案：50）,,,1,active
g6-pic-scale,g6-m7-g6-pic-scale,6,M7,6-g6-pic-scale,比例尺图,理解比例尺=图上距离:实际距离。,比例尺1:1000，图上1厘米代表实际？（答案：10米）,,,1,active
g6-app-frac-mult,g6-m8-g6-app-frac-mult,6,M8,6-g6-app-frac-mult,求一个数的几分之几是多少（分数乘法）,用乘法求一个数的几分之几是多少。,100的1/4是？（答案：25）,,,1,active
g6-app-frac-div,g6-m8-g6-app-frac-div,6,M8,6-g6-app-frac-div,已知一个数的几分之几求这个数（分数除法）,用除法求单位“1”（已知几分之几求原数）。,一个数的1/3是4，这个数？（答案：12）,,,1,active
g6-app-percent-discount,g6-m8-g6-app-percent-discount,6,M8,6-g6-app-percent-discount,折扣、成数、税率、利率百分数应用,解决折扣、成数、税率、利率等百分数问题。,打八折、原价100，实付？（答案：80）,,,1,active
g6-app-ratio-prop,g6-m8-g6-app-ratio-prop,6,M8,6-g6-app-ratio-prop,比和比例的应用（比例尺、按比例分配、用比例解）,用比和比例解决实际问题（按比例分配、用比例解）。,按2:3分100，两份各是？（答案：40和60）,,,1,active
g6-app-circle,g6-m8-g6-app-circle,6,M8,6-g6-app-circle,圆的周长和面积应用,解决圆的实际问题。,半径2的圆周长？（答案：4π）,,,1,active
g6-app-cyl-cone,g6-m8-g6-app-cyl-cone,6,M8,6-g6-app-cyl-cone,圆柱圆锥体积与表面积应用,解决圆柱、圆锥的实际问题。,r=1、h=3的圆锥体积？（答案：π）,,,1,active
g6-app-travel-work,g6-m8-g6-app-travel-work,6,M8,6-g6-app-travel-work,行程、工程问题（分数除法应用）,用分数除法解决行程、工程问题。,甲效1/10、乙效1/15，合作需？（答案：6天）,,,1,active
g6-app-pigeonhole,g6-m8-g6-app-pigeonhole,6,M8,6-g6-app-pigeonhole,鸽巢问题简单应用,用抽屉原理说明必有重复。,5个人分4种血型，至少有2人同血型。,,,1,active
g6-stat-pie-chart,g6-m9-g6-stat-pie-chart,6,M9,6-g6-stat-pie-chart,扇形统计图的选择与读图,会选择并读取扇形统计图的信息。,读出各部分所占的百分比。,,,1,active
g6-stat-possibility,g6-m9-g6-stat-possibility,6,M9,6-g6-stat-possibility,可能性大小判断,判断事件发生可能性的大小。,必然事件的可能性是？（答案：1）,,,1,active
